Tire,WG,AC,ON,OF,MT,SL,SW,SA,SG,TL,TW,TA,TG,IV
Normal,2,4,2,5,4,2,3,2,3,3,3,3,3,4
Monster,4,2,3,7,3,3,2,2,1,0,1,0,1,6
Roller,0,6,0,4,6,0,3,0,3,4,4,4,4,0
Slim,2,2,4,1,3,3,2,4,2,4,4,3,4,5
Slick,3,1,4,0,2,4,0,4,0,2,0,2,1,5
Metal,4,0,1,2,2,4,3,1,2,2,2,1,0,6
Button,0,5,1,3,5,1,2,2,2,3,3,4,2,3
Off-Road,3,3,3,6,3,3,4,2,1,1,1,2,2,6
Sponge,1,4,2,6,5,1,1,1,4,2,1,2,3,4
Wooden,2,2,4,1,3,3,2,4,2,4,4,3,4,5
Cushion,1,4,2,6,5,1,1,1,4,2,1,2,3,6
Normal Blue,2,4,2,5,4,2,3,2,3,3,3,3,3,4
Funky Monster,4,2,3,7,3,3,2,2,1,0,1,0,1,6
Azure Roller,0,6,0,4,6,0,3,0,3,4,4,4,4,0
Crimson Slim,2,2,4,1,3,3,2,4,2,4,4,3,4,5
Cyber Slick,3,1,4,0,2,4,0,4,0,2,0,2,1,5
Retro Off-Road,3,3,3,6,3,3,4,2,1,1,1,2,2,6
Gold Wheels,4,0,1,2,2,4,3,1,2,2,2,1,0,5
GLA Wheels,2,4,2,5,4,2,3,2,3,3,3,3,3,5
Triforce Tyres,3,3,3,6,3,3,4,2,1,1,1,2,2,5
Leaf Tyres,0,5,1,3,5,1,2,2,2,3,3,4,2,3
Ancient Tyres,4,2,3,7,3,3,2,2,1,0,1,0,1,5
